year,artist,song,position,category
1969,Fausto Leali & Tony Del Monaco,Un'ora fa,4,Unica
1969,Nada & The Rokes,Ma che freddo fa,5,Unica
1969,Gigliola Cinquetti & France Gall,La pioggia,6,Unica
1969,Orietta Berti & Massimo Ranieri,Quando l'amore diventa poesia,7,Unica
1969,Caterina Caselli & Johnny Dorelli,Il gioco dell'amore,8,Unica
1969,Lucio Battisti & Wilson Pickett,Un'avventura,9,Unica
1969,Little Tony & Mario Zelinotti,Bada bambina,10,Unica
1969,Alessandra Casaccia & Memo Remigi,Una famiglia,11,Unica
1969,Carmen Villani & Alessandra Casaccia,Piccola piccola,12,Unica
1969,Mino Reitano & Claudio Villa,Meglio una sera piangere da solo,13,Unica
1969,Junior Magli & The Casuals,Alla fine della strada,14,Unica
1969,Rosanna Fratello & Brenton Wood,Il treno,NF,Unica
1969,Elio Gandolfi & Antoine,Cosa hai messo nel caffè?,NF,Unica
1969,Wilma Goich & The Sweet Inspirations,Baci baci baci,NF,Unica
1969,Mal & The Showmen,Tu sei bella come sei,NF,Unica
1969,Rita Pavone & The Rokes,Zucchero,NF,Unica
1969,Gabriella Ferri & Stevie Wonder,Se tu ragazzo mio,NF,Unica
1969,Leonardo & Robertino,Io che ho te,NF,Unica
1969,Isabella Iannetti & Memo Remigi,Una famiglia,NF,Unica
1969,Checco & The Casuals,Alla fine della strada,NF,Unica
1969,Sonia & Robertino,Non c'è che lei,NF,Unica
1970,Adriano Celentano & Claudia Mori,Chi non lavora non fa l'amore,1,Unica
1970,Nicola Di Bari & Ricchi e Poveri,La prima cosa bella,2,Unica
1970,Sergio Endrigo & Iva Zanicchi,L'arca di Noè,3,Unica
1970,Gigliola Cinquetti & Bobby Solo,Romantico blues,4,Unica
1970,Fausto Leali & Tony Del Monaco,Pa' diglielo a ma',5,Unica
1970,Nada & Rosalino Cellamare (Ron),Pa' diglielo a ma',6,Unica
1970,Orietta Berti & Nino Ferrer,Tipitipitì,7,Unica
1970,Gianni Nazzaro & Marisa Sannia,L'amore è una colomba,8,Unica
1970,Pio & Mal,Sole pioggia e vento,9,Unica
1970,Dino & Anna Identici,Taxi,10,Unica
1970,Don Backy & Sandie Shaw,I'm Your Lady (Che effetto mi fa),11,Unica
1970,Carmen Villani & Fausto Leali,Hippy,12,Unica
1970,Renato Rascel & Pia Colombo,Oggi è domenica,13,Unica
1970,Little Tony & Mario Zelinotti,Spada tratta,14,Unica
1970,Lucio Dalla & Renato Pareti,Ciao a te,NF,Unica
1970,Patty Pravo & Elsa Quarta,La spada nel cuore,NF,Unica
1970,Caterina Caselli & Lara Saint Paul,Re di cuori,NF,Unica
1970,Mino Reitano & Ewa Aulin,Nell'anno ottanta,NF,Unica
1970,Francesco Banti & Dori Ghezzi,Occhi a mandorla,NF,Unica
1971,Nada & Nicola Di Bari,Il cuore è uno zingaro,1,Unica
1971,Ricchi e Poveri & José Feliciano,Che sarà,2,Unica
1971,Lucio Dalla & Equipe 84,4/3/1943,3,Unica
1971,Don Backy & Gianni Nazzaro,Bianchi cristalli sereni,4,Unica
1971,Wilma Goich & Mino Reitano,Ninna nanna (Cuore mio),5,Unica
1971,Adriano Celentano & Coro Alpino Milanese,Sotto le lenzuola,6,Unica
1971,Gigliola Cinquetti & Ray Conniff,La pioggia (Rosa nel deserto),7,Unica
1971,Sergio Endrigo & New Trolls,Una storia,8,Unica
1971,Orietta Berti & Gigliola Cinquetti,L'ora giusta,9,Unica
1971,Little Tony & Formula 3,La folle corsa,10,Unica
1971,Al Bano & Aguaviva,13 storia d'oggi,11,Unica
1971,Massimo Ranieri & I Giganti,Sotto le lenzuola,F,Unica
1971,Caterina Caselli & Dik Dik,Ninna nanna (Cuore mio),F,Unica
1971,Pino Donaggio & Peppino Di Capri,L'ultimo amore,NF,Unica
1971,Domenico Modugno,Come stai?,NF,Unica
1971,Anna Identici,Il dirigibile,NF,Unica
1971,Iva Zanicchi,L'ultimo amore,NF,Unica
1971,Mau Cristiani,La porta chiusa,NF,Unica
1971,Sergio Menegale,Il sorriso il paradiso,NF,Unica
1972,Nicola Di Bari,I giorni dell'arcobaleno,1,Unica
1972,Peppino Gagliardi,Come le viole,2,Unica
1972,Nada,Re di denari,3,Unica
1972,Gianni Morandi,Vado a lavorare,4,Unica
1972,Iva Zanicchi,Ti amo così tanto,5,Unica
1972,Milva,Mediterraneo,6,Unica
1972,Mino Reitano,Un diario segreto,7,Unica
1972,Domenico Modugno,Un calcio alla città,8,Unica
1972,Lucio Dalla,Piazza Grande,8,Unica
1972,Ricchi e Poveri,Un diadema di ciliegie,11,Unica
1972,Anna Identici,Era bello il mio ragazzo,F,Unica
1972,Marcella Bella,Montagne verdi,7,Unica
1972,Delia,La mia vita sopra un tetto,F,Unica
1972,Marisa Sacchetto,Il mio cuore se ne va,NF,Unica
1972,Fausto Leali,L'uomo e il cane,NF,Unica
1972,Roberto Vecchioni,I fari,NF,Unica
1972,Bobby Solo,Rimpianto,NF,Unica
1973,Peppino Di Capri,Un grande amore e niente più,1,Unica
1973,Peppino Gagliardi,Come un ragazzino,2,Unica
1973,Milva,Da troppo tempo,3,Unica
1973,Ricchi e Poveri,Dolce frutto,4,Unica
1973,Wess & Dori Ghezzi,Tu nella mia vita,6,Unica
1973,Fausto Leali,La bandiera di sole,8,Unica
1973,Anna Identici,Mi son chiesta tante volte,F,Unica
1973,Mino Reitano,Ciao vita mia,NF,Unica
1973,Umberto Balsamo,Amore mio,NF,Unica
1973,Gigliola Cinquetti,Mistero,NF,Unica
1973,Roberto Vecchioni,L'uomo che si gioca il cielo a dadi,F,Unica
1973,Donatello,Tu giovane amore mio,F,Unica
1973,Lara Saint Paul,Una casa nuova,F,Unica
1973,Alessandro,Tre minuti di rcordi,NF,Unica
1974,Iva Zanicchi,Ciao cara come stai?,1,Unica
1974,Domenico Modugno,Questa è la mia vita,2,Unica
1974,Orietta Berti,Occhi rossi,3,Unica
1974,Anna Melato,Sta piovendo dolcemente,4,Unica
1974,Emanuela Cortesi,Il mio volo bianco,5,Unica
1974,Gilda Giuliani,Senza titolo,6,Unica
1974,Les Humphries Singers,Help me Maria,NF,Unica
1974,Little Tony,Cavalli bianchi,NF,Unica
1974,Al Bano,In controluce,F,Unica
1974,Mino Reitano,Innamorati,F,Unica
1974,Ricchi e Poveri,Povera bimba,NF,Unica
1974,Nicola Di Bari,Matta,NF,Unica
1974,Gigliola Cinquetti,Sì,2,Unica (Nota: Inviata all'Eurovision)
1975,Gilda,Ragazza del sud,1,Unica
1975,Angela Luce,Ipocrisia,2,Unica
1975,Rosanna Fratello,Va' speranza va',3,Unica
1975,Valentina Greco,Un grande addio,4,Unica
1975,Tiziana Rivale,L'amore è una cosa meravigliosa,F,Unica
1975,Eugenio Alberti,Decidi tu per me,NF,Unica
1975,Nicoletta Bauce,Educazione fisica,NF,Unica
1975,Le Nuove Erbe,In amore non si può mentire,NF,Unica
1975,Piero Cotto,Il pupazzo,NF,Unica
1975,Paola Musiani,Se nasco un'altra volta,NF,Unica
1976,Peppino Di Capri,Non lo faccio più,1,Unica
1976,Wess & Dori Ghezzi,Come stai con chi sei,2,Unica
1976,Sandro Giacobbe,Gli occhi di tua madre,3,Unica
1976,Al Bano & Romina Power,We'll Live It All Again (Noi lo rivivremo di nuovo),4,Unica
1976,Daniel Sentacruz Ensemble,Linda bella Linda,5,Unica
1976,Orietta Berti,Omar,6,Unica
1976,Miko,Signora tu,F,Unica
1976,Drupi,Sambariò,F,Unica
1976,Ricchi e Poveri,Due storie dei musicanti,F,Unica
1976,Caterina Caselli,L'amica di mia madre,NF,Unica
1976,La Strana Società,Andiamo via,NF,Unica
1976,I Profeti,Cercati un'anima,NF,Unica
1977,Homo Sapiens,Bella da morire,1,Unica
1977,Collage,Tu mi rubi l'anima,2,Unica
1977,Santo California,Monica,3,Unica
1977,Albatros (Toto Cutugno),Gran Premio,F,Unica
1977,Umberto Balsamo,L'angelo azzurro,F,Unica
1977,Matia Bazar,Ma perché,F,Unica
1977,Donatella Rettore,Oh Carmela,F,Unica
1977,Dora Moroni,Ora,F,Unica
1977,Giulietta Sacco,Dicitencello vuje,NF,Unica
1977,La Strana Società,Tesoro mio,NF,Unica
1977,Leano Morelli,Io ti porterei,NF,Unica
1978,Matia Bazar,...e dirsi ciao,1,Unica
1978,Anna Oxa,Un'emozione da poco,2,Unica
1978,Rino Gaetano,Gianna,3,Unica
1978,Ciro Sebastianelli,Il buio e tu,4,Unica
1978,Alice,Il mio canto nell'aria,NF,Unica
1978,Roberto Carrino,Amsa-cul-u-nu,NF,Unica
1978,Dora Moroni,Che facciamo stasera?,NF,Unica
1978,Grimm,Raggio di luna,NF,Unica
1978,Jeans,Lei era,NF,Unica
1978,Laura Luca,Domani domani,NF,Unica
1978,Schola Cantorum,La montagna,NF,Unica
1979,Mino Vergnaghi,Amare,1,Unica
1979,Enzo Carella,Barbara,2,Unica
1979,I Camaleonti,Quell'attimo in più,3,Unica
1979,Antoine,Nocciolino,F,Unica
1979,Enrico Beruschi,Sarà un fiore,5,Unica
1979,Franco Fanigliulo,A me mi piace vivere alla grande,6,Unica
1979,Lorella Pescerelli,New York,F,Unica
1979,Kim & The Cadillacs,C'era un'atmosfera,F,Unica
1979,Collage,La gente parla,F,Unica
1979,Ayx,Ayx mania,NF,Unica
1979,Umberto Napolitano,Bimba mia,NF,Unica
1979,Nicoletta Bauce,Animale,NF,Unica
1980,Toto Cutugno,Solo noi,1,Unica
1980,Enzo Malepasso,Ti voglio bene,2,Unica
1980,Pupo,Su di noi,3,Unica
1980,Stefano Rosso,L'italiano,F,Unica
1980,Beniamino Maggio,Va' pensiero,F,Unica
1980,Gianni Belfiore,Tu mi manchi,F,Unica
1980,I Decibel (Enrico Ruggeri),Contessa,F,Unica
1980,Leano Morelli,Musica regina,F,Unica
1980,Peppino Di Capri,Tu cioè...,F,Unica
1980,Rino Gaetano (Assente),Solo noi (Nota: Rino era ospite),N/A,Unica
1980,Sally Oldfield,Celebration,F,Unica
1981,Alice,Per Elisa,1,Unica
1981,Loretta Goggi,Maledetta primavera,2,Unica
1981,Dario Baldan Bembo,Tu cosa fai stasera?,3,Unica
1981,Luca Barbarossa,Roma spogliata,4,Unica
1981,Ricchi e Poveri,Sarà perché ti amo,5,Unica
1981,Eduardo De Crescenzo,Ancora,F,Unica
1981,Fiorella Mannoia,Caffè nero bollente,F,Unica
1981,Marcella Bella,Pensa per te,F,Unica
1981,Michele Zarrillo,Su quel pianeta libero,F,Unica
1981,Eduardo De Crescenzo,Ancora,F,Unica
1982,Riccardo Fogli,Storie di tutti i giorni,1,Unica
1982,Al Bano & Romina Power,Felicità,2,Unica
1982,Drupi,Soli,3,Unica
1982,Gianni Morandi,Mariù,F,Unica
1982,Mia Martini,E non finisce mica il cielo,F,Unica (Premio Critica)
1982,Christian,Un'altra vita un altro amore,F,Unica
1982,Fiordaliso,Una sporca poesia,F,Unica
1982,Zucchero Fornaciari,Una notte che vola via,F,Unica
1982,Vasco Rossi,Vado al massimo,F,Unica
1983,Tiziana Rivale,Sarà quel che sarà,1,Unica
1983,Donatella Milani,Volevo dirti,2,Unica
1983,Dori Ghezzi,Margherita non lo sa,3,Unica
1983,Matia Bazar,Vacanze romane,4,Unica
1983,Toto Cutugno,L'italiano,5,Unica
1983,Fiordaliso,Oramai,6,Unica
1983,Anna Oxa,Senza di te,F,Unica
1983,Vasco Rossi,Vita spericolata,25,Unica
1983,Zucchero Fornaciari,Nuvola,F,Unica
1984,Al Bano & Romina Power,Ci sarà,1,Big
1984,Toto Cutugno,Serenata,2,Big
1984,Christian,Cara,3,Big
1984,Patty Pravo,Per una bambola,10,Big
1984,Eros Ramazzotti,Terra promessa,1,Nuove Proposte
1984,Marco Armani,Solo con l'anima mia,2,Nuove Proposte
1984,Valentina Gautier,La fenice,3,Nuove Proposte
1984,Fabio Vanni,Lei balla sola,F,Nuove Proposte
1985,Ricchi e Poveri,Se m'innamoro,1,Big
1985,Luis Miguel,Noi ragazzi di oggi,2,Big
1985,Gigliola Cinquetti,Chiamalo amore,3,Big
1985,Zucchero & Randy Jackson Band,Donne,21,Big
1985,Cinzia Corrado,Niente di più,1,Nuove Proposte
1985,Miani,Me ne andrò,2,Nuove Proposte
1985,Mango,Il viaggio,F,Nuove Proposte
1986,Eros Ramazzotti,Adesso tu,1,Big
1986,Renzo Arbore,Il clarinetto,2,Big
1986,Marcella Bella,Senza un briciolo di testa,3,Big
1986,Loredana Bertè,Re,9,Big
1986,Lena Biolcati,Grande grande amore,1,Nuove Proposte
1986,Aleandro Baldi,La nave va,2,Nuove Proposte
1986,Giampiero Artegiani,...e le rondini sfioravano il grano,3,Nuove Proposte
1987,Morandi Ruggeri Tozzi,Si può dare di più,1,Big
1987,Toto Cutugno,Figli,2,Big
1987,Al Bano & Romina Power,Nostalgia canaglia,3,Big
1987,Fausto Leali,Io amo,4,Big
1987,Fiorella Mannoia,Quello che le donne non dicono,8,Big
1987,Michele Zarrillo,La notte dei pensieri,1,Nuove Proposte
1987,Mariella Nava,Fai piano,F,Nuove Proposte
1988,Massimo Ranieri,Perdere l'amore,1,Big
1988,Toto Cutugno,Emozioni,2,Big
1988,Luca Barbarossa,L'amore rubato,3,Big
1988,Fiordaliso,Per noi,F,Big
1988,Matia Bazar,La prima stella della sera,F,Big
1988,Future,Canta con noi,1,Nuove Proposte
1988,Stefano Palatresi,Bianco e nero,2,Nuove Proposte
1988,Lijao,Per noi giovani,3,Nuove Proposte
1989,Anna Oxa & Fausto Leali,Ti lascerò,1,Big
1989,Toto Cutugno,Le mamme,2,Big
1989,Al Bano & Romina Power,Cara terra mia,3,Big
1989,Mia Martini,Almeno tu nell'universo,9,Big
1989,Jovanotti,Vasco,5,Big
1989,Mietta,Canzoni,1,Nuove Proposte
1989,Jo Chiarello,Io e il cielo,2,Nuove Proposte
1989,Franco Fasano,E quel giorno non mi perderai più,3,Nuove Proposte
2010,Valerio Scanu,Per tutte le volte che...,1,Campioni
2010,Pupo Emanuele Filiberto & Luca Canonici,Italia amore mio,2,Campioni
2010,Marco Mengoni,Credimi ancora,3,Campioni
2010,Irene Grandi,La cometa di Halley,F,Campioni
2010,Irene Fornaciari feat. Nomadi,Il mondo piange,F,Campioni
2010,Noemi,Per tutta la vita,F,Campioni
2010,Malika Ayane,Ricomincio da qui,F,Campioni
2010,Arisa,Malamorenò,F,Campioni
2010,Povia,La verità,F,Campioni
2010,Simone Cristicchi,Meno male,F,Campioni
2010,Enrico Ruggeri,La notte delle fate,NF,Campioni
2010,Fabrizio Moro,Non è una canzone,NF,Campioni
2010,Nino D'Angelo,Jammo ja,NF,Campioni
2010,Sonohra,Baby,NF,Campioni
2010,Toto Cutugno,Aeroplani,NF,Campioni
2011,Roberto Vecchioni,Chiamami ancora amore,1,Campioni
2011,Modà feat. Emma,Arriverà,2,Campioni
2011,Al Bano,Amanda è libera,3,Campioni
2011,Davide Van De Sfroos,Yanez,4,Campioni
2011,Raphael Gualazzi,Follia d'amore,F,Campioni
2011,Luca Madonia feat. Franco Battiato,L'alieno,5,Campioni
2011,La Crus,Io confesso,6,Campioni
2011,Luca Barbarossa e Raquel del Rosario,Fino in fondo,F,Campioni
2011,Anna Tatangelo,Bastardo,F,Campioni
2011,Giusy Ferreri,Il mare immenso,F,Campioni
2011,Nathalie,Vivo sospesa,F,Campioni
2011,Patty Pravo,Il vento e le rose,NF,Campioni
2011,Max Pezzali,Il mio secondo tempo,NF,Campioni
2011,Anna Oxa,La mia anima d'uomo,NF,Campioni
2011,Tricarico,Tre colori,NF,Campioni
2012,Emma,Non è l'inferno,1,Campioni
2012,Arisa,La notte,2,Campioni
2012,Noemi,Sono solo parole,3,Campioni
2012,Francesco Renga,La tua bellezza,4,Campioni
2012,Marlene Kuntz,Canzone per un figlio,F,Campioni
2012,Nina Zilli,Per sempre,F,Campioni
2012,Samuele Bersani,Un pallone,F,Campioni
2012,Eugenio Finardi,E tu lo chiami Dio,F,Campioni
2012,Pierdavide Carone feat. Lucio Dalla,Nanì,5,Campioni
2012,Matia Bazar,Sei tu,F,Campioni
2012,Dolcenera,Ci vediamo a casa,6,Campioni
2012,Gigi D'Alessio feat. Loredana Bertè,Respirare,F,Campioni
2012,Chiara Civello,Al posto del mondo,F,Campioni
2012,Irene Fornaciari,Grande mistero,NF,Campioni
2013,Marco Mengoni,L'essenziale,1,Campioni
2013,Elio e le Storie Tese,La canzone mononota,2,Campioni
2013,Modà,Se si potesse non morire,3,Campioni
2013,Malika Ayane,E se poi,4,Campioni
2013,Raphael Gualazzi,Sai (ci basta un sogno),5,Campioni
2013,Daniele Silvestri,A bocca chiusa,6,Campioni
2013,Max Gazzè,Sotto casa,7,Campioni
2013,Chiara,Il futuro che sarà,8,Campioni
2013,Annalisa,Scintille,9,Campioni
2013,Maria Nazionale,È colpa mia,10,Campioni
2013,Simone Cristicchi,La prima volta (che sono morto),11,Campioni
2013,Marta sui Tubi,Vorrei,12,Campioni
2013,Almamegretta,Mamma non lo sa,13,Campioni
2013,Simona Molinari feat. Peter Cincotti,La felicità,14,Campioni
2014,Arisa,Controvento,1,Campioni
2014,Raphael Gualazzi & The Bloody Beetroots,Liberi o no,2,Campioni
2014,Renzo Rubino,Ora,3,Campioni
2014,Francesco Renga,Vivendo adesso,4,Campioni
2014,Noemi,Bagnati dal sole,5,Campioni
2014,Perturbazione,L'unica,6,Campioni
2014,Cristiano De André,Il cielo è vuoto,7,Campioni
2014,Frankie hi-nrg mc,Pedala,8,Campioni
2014,Giusy Ferreri,Ti porto a cena con me,9,Campioni
2014,Francesco Sarcina,Nel tuo sorriso,10,Campioni
2014,Giuliano Palma,Così lontano,11,Campioni
2014,Antonella Ruggiero,Da lontano,12,Campioni
2014,Ron,Sing in the Rain,13,Campioni
2014,Riccardo Sinigallia,Prima di andare via,Squalificato,Campioni
2015,Il Volo,Grande amore,1,Campioni
2015,Nek,Fatti avanti amore,2,Campioni
2015,Malika Ayane,Adesso e qui (nostalgia),3,Campioni
2015,Annalisa,Una finestra tra le stelle,4,Campioni
2015,Chiara,Straordinario,5,Campioni
2015,Marco Masini,Che giorno è,6,Campioni
2015,Dear Jack,Il mondo esplode tranne noi,7,Campioni
2015,Gianluca Grignani,Sogni infranti,8,Campioni
2015,Nina Zilli,Sola,9,Campioni
2015,Lorenzo Fragola,Siamo uguali,10,Campioni
2015,Alex Britti,Un attimo importante,11,Campioni
2015,Irene Grandi,Un vento senza nome,12,Campioni
2015,Nesli,Buona fortuna amore,13,Campioni
2015,Moreno,Oggi ti parlo così,14,Campioni
2015,Bianca Atzei,Il solo al mondo,15,Campioni
2015,Grazia Di Michele e Mauro Coruzzi,Io sono una finestra,16,Campioni
2015,Lara Fabian,Voce,NF,Campioni
2015,Raf,Come una favola,NF,Campioni
2015,Biggio e Mandelli,Vita infernale,NF,Campioni
2015,Anna Tatangelo,Libera,NF,Campioni
2016,Stadio,Un giorno mi dirai,1,Campioni
2016,Francesca Michielin,Nessun grado di separazione,2,Campioni
2016,Giovanni Caccamo e Deborah Iurato,Via da qui,3,Campioni
2016,Enrico Ruggeri,Il primo amore non si scorda mai,4,Campioni
2016,Lorenzo Fragola,Infinite volte,5,Campioni
2016,Patty Pravo,Cieli immensi,6,Campioni
2016,Clementino,Quando sono lontano,7,Campioni
2016,Noemi,La borsa di una donna,8,Campioni
2016,Rocco Hunt,Wake Up,9,Campioni
2016,Arisa,Guardando il cielo,10,Campioni
2016,Annalisa,Il diluvio universale,11,Campioni
2016,Valerio Scanu,Finalmente piove,13,Campioni
2016,Alessio Bernabei,Noi siamo infinito,14,Campioni
2016,Elio e le Storie Tese,Vincere l'odio,15,Campioni
2016,Francesca Michielin,Nessun grado di separazione,2,Campioni
2016,Dolcenera,Ora o mai più (le cose cambiano),15,Campioni
2016,Irene Fornaciari,Blu,16,Campioni
2016,Bluvertigo,Semplicemente,NF,Campioni
2016,Dear Jack,Mezzo respiro,NF,Campioni
2016,Zero Assoluto,Di me e di te,NF,Campioni
2016,Neffa,Sogni e nostalgia,NF,Campioni
2017,Francesco Gabbani,Occidentali's Karma,1,Campioni
2017,Fiorella Mannoia,Che sia benedetta,2,Campioni
2017,Ermal Meta,Vietato morire,3,Campioni
2017,Michele Bravi,Il diario degli errori,4,Campioni
2017,Paola Turci,Fatti bella per te,5,Campioni
2017,Sergio Sylvestre,Con te,6,Campioni
2017,Fabrizio Moro,Portami via,7,Campioni
2017,Elodie,Tutta colpa mia,8,Campioni
2017,Bianca Atzei,Ora esisti solo tu,9,Campioni
2017,Samuel,Vedrai,10,Campioni
2017,Michele Zarrillo,Mani nelle mani,11,Campioni
2017,Lodovica Comello,Il cielo non mi basta,12,Campioni
2017,Marco Masini,Spostato di un secondo,13,Campioni
2017,Chiara,Nessun posto è casa mia,14,Campioni
2017,Alessio Bernabei,Nel mezzo di un applauso,15,Campioni
2017,Clementino,Ragazzi fuori,16,Campioni
2017,Al Bano,Di rose e di spine,NF,Campioni
2017,Gigi D'Alessio,La prima stella,NF,Campioni
2017,Ron,L'ottava meraviglia,NF,Campioni
2017,Giusy Ferreri,Fa talmente male,NF,Campioni
2017,Nesli e Alice Paba,Do re mi fa sol,NF,Campioni
2017,Raige e Giulia Luzi,Togliamoci la voglia,NF,Campioni
2018,Ermal Meta e Fabrizio Moro,Non mi avete fatto niente,1,Campioni
2018,Lo Stato Sociale,Una vita in vacanza,2,Campioni
2018,Annalisa,Il mondo prima di te,3,Campioni
2018,Ron,Almeno pensami,4,Campioni
2018,Ornella Vanoni con Bungaro e Pacifico,Imparare ad amarsi,5,Campioni
2018,Max Gazzè,La leggenda di Cristalda e Pizzomunno,6,Campioni
2018,Luca Barbarossa,Passame er sale,7,Campioni
2018,Diodato e Roy Paci,Adesso,8,Campioni
2018,The Kolors,Frida (mai mai mai),9,Campioni
2018,Giovanni Caccamo,Eterno,10,Campioni
2018,Le Vibrazioni,Così sbagliato,11,Campioni
2018,Enzo Avitabile con Peppe Servillo,Il coraggio di ogni giorno,12,Campioni
2018,Renzo Rubino,Custodire,13,Campioni
2018,Noemi,Non smettere mai di cercarmi,14,Campioni
2018,Red Canzian,Ognuno ha il suo racconto,15,Campioni
2018,Decibel,Lettera dal Duca,16,Campioni
2018,Nina Zilli,Senza appartenere,17,Campioni
2018,Roby Facchinetti e Riccardo Fogli,Il segreto del tempo,18,Campioni
2018,Mario Biondi,Rivederti,19,Campioni
2018,Elio e le Storie Tese,Arrivederci,20,Campioni
2019,Mahmood,Soldi,1,Campioni
2019,Ultimo,I tuoi particolari,2,Campioni
2019,Il Volo,Musica che resta,3,Campioni
2019,Loredana Bertè,Cosa ti aspetti da me,4,Campioni
2019,Simone Cristicchi,Abbi cura di me,5,Campioni
2019,Daniele Silvestri,Argentovivo,6,Campioni
2019,Irama,La ragazza con il cuore di latta,7,Campioni
2019,Arisa,Mi sento bene,8,Campioni
2019,Achille Lauro,Rolls Royce,9,Campioni
2019,Enrico Nigiotti,Nonno Hollywood,10,Campioni
2019,Boomdabash,Per un milione,11,Campioni
2019,Paola Turci,L'ultimo ostacolo,12,Campioni
2019,Francesco Renga,Aspetto che torni,13,Campioni
2019,Ex-Otago,Solo una canzone,14,Campioni
2019,Ghemon,Rose viola,15,Campioni
2019,Negrita,I ragazzi stanno bene,16,Campioni
2019,Zen Circus,L'amore è una dittatura,17,Campioni
2019,Federica Carta e Shade,Senza farlo apposta,18,Campioni
2019,Nek,Mi farò trovare pronto,19,Campioni
2019,Patty Pravo con Briga,Un po' come la vita,21,Campioni
2019,Anna Tatangelo,Le nostre anime di notte,22,Campioni
2019,Einar,Parole nuove,23,Campioni
2019,Motta,Dov'è l'Italia,14,Campioni
2019,Nino D'Angelo e Livio Cori,Un'altra luce,24,Campioni
2020,Diodato,Fai rumore,1,Campioni
2020,Francesco Gabbani,Viceversa,2,Campioni
2020,Pinguini Tattici Nucleari,Ringo Starr,3,Campioni
2020,Le Vibrazioni,Dov'è,4,Campioni
2020,Piero Pelù,Gigante,5,Campioni
2020,Tosca,Ho amato tutto,6,Campioni
2020,Elodie,Andromeda,7,Campioni
2020,Achille Lauro,Me ne frego,8,Campioni
2020,Irene Grandi,Finalmente io,9,Campioni
2020,Rancore,Eden,10,Campioni
2020,Raphael Gualazzi,Carioca,11,Campioni
2020,Levante,Tikibombom,12,Campioni
2020,Anastasio,Rosso di rabbia,13,Campioni
2020,Alberto Urso,Il sole ad est,14,Campioni
2020,Marco Masini,Il confronto,15,Campioni
2020,Paolo Jannacci,Voglio parlarti adesso,16,Campioni
2020,Rita Pavone,Niente (Resilienza 74),17,Campioni
2020,Michele Zarrillo,Nell'estasi o nel fango,18,Campioni
2020,Enrico Nigiotti,Baciami adesso,19,Campioni
2020,Giordana Angi,Come mia madre,20,Campioni
2020,Elettra Lamborghini,Musica (e il resto scompare),21,Campioni
2020,Junior Cally,No grazie,22,Campioni
2020,Riki,Lo sappiamo entrambi,23,Campioni
2020,Bugo e Morgan,Sincero,Squalificati,Campioni
2021,Måneskin,Zitti e buoni,1,Campioni
2021,Francesca Michielin e Fedez,Chiamami per nome,2,Campioni
2021,Ermal Meta,Un milione di cose da dirti,3,Campioni
2021,Colapesce Dimartino,Musica leggerissima,4,Campioni
2021,Irama,La genesi del tuo colore,5,Campioni
2021,Willie Peyote,Mai dire mai (la locura),6,Campioni
2021,Annalisa,Dieci,7,Campioni
2021,Madame,Voce,8,Campioni
2021,Orietta Berti,Quando ti sei innamorato,9,Campioni
2021,Arisa,Potevi fare di più,10,Campioni
2021,La Rappresentante di Lista,Amare,11,Campioni
2021,Extraliscio feat. Davide Toffolo,Bianca luce nera,12,Campioni
2021,Lo Stato Sociale,Combat Pop,13,Campioni
2021,Noemi,Glicine,14,Campioni
2021,Malika Ayane,Ti piaci così,15,Campioni
2021,Fulminacci,Santa Marinella,16,Campioni
2021,Max Gazzè,Il farmacista,17,Campioni
2021,Fasma,Parlami,18,Campioni
2021,Gaia,Cuore amaro,19,Campioni
2021,Coma_Cose,Fiamme negli occhi,20,Campioni
2021,Ghemon,Momento perfetto,21,Campioni
2021,Francesco Renga,Quando trovo te,22,Campioni
2021,Gio Evan,Arnica,23,Campioni
2021,Elettra Lamborghini (Assente/Sostituita),N/A,N/A,Campioni
2021,Bugo,E invece sì,24,Campioni
2021,Aiello,Ora,25,Campioni
2021,Random,Torno a te,26,Campioni
2022,Mahmood e Blanco,Brividi,1,Campioni
2022,Elisa,O forse sei tu,2,Campioni
2022,Gianni Morandi,Apri tutte le porte,3,Campioni
2022,Irama,Ovunque sarai,4,Campioni
2022,Sangiovanni,Farfalle,5,Campioni
2022,Emma,Ogni volta è così,6,Campioni
2022,La Rappresentante di Lista,Ciao ciao,7,Campioni
2022,Massimo Ranieri,Lettera di là dal mare,8,Campioni
2022,Dargen D'Amico,Dove si balla,9,Campioni
2022,Michele Bravi,Inverno dei fiori,10,Campioni
2022,Matteo Romano,Virale,11,Campioni
2022,Fabrizio Moro,Sei tu,12,Campioni
2022,Aka 7even,Perfetta così,13,Campioni
2022,Giovanni Truppi,Tuo padre mia madre Lucia,14,Campioni
2022,Noemi,Ti amo non lo so dire,15,Campioni
2022,Lequel (Rkomi),Insuperabile,16,Campioni
2022,Iva Zanicchi,Voglio amarti,18,Campioni
2022,Ditonellapiaga con Rettore,Chimica,16,Campioni
2022,Achille Lauro,Domenica,14,Campioni
2022,Giusy Ferreri,Miele,23,Campioni
2022,Yuman,Qui e ora,21,Campioni
2022,Tananai,Sesso occasionale,25,Campioni
2022,Le Vibrazioni,Tantissimo,22,Campioni
2022,Ana Mena,Duecentomila ore,24,Campioni
2023,Marco Mengoni,Due vite,1,Campioni
2023,Lazza,Cenere,2,Campioni
